title,author,is_loaned,copies,genre,year,popularity
The Catcher in the Rye,J.D. Salinger,No,3.0,Fiction,1951,0
To Kill a Mockingbird,Harper Lee,No,5.0,Fiction,1960,0
1984,George Orwell,Yes,5.0,Dystopian,1949,0
The Great Gatsby,F. Scott Fitzgerald,No,4.0,Classic,1925,1
Moby Dick,Herman Melville,No,1.0,Adventure,1851,0
Pride and Prejudice,Jane Austen,No,7.0,Romance,1813,0
War and Peace,Leo Tolstoy,No,2.0,Historical Fiction,1869,0
Great Expectations,Charles Dickens,No,3.0,Classic,1861,0
Crime and Punishment,Fyodor Dostoevsky,Yes,1.0,Psychological Drama,1866,0
The Brothers Karamazov,Fyodor Dostoevsky,No,3.0,Philosophy,1880,0
The Divine Comedy,Dante Alighieri,Yes,1.0,Epic Poetry,1320,0
Jane Eyre,Charlotte Brontë,No,2.0,Gothic Fiction,1847,0
Wuthering Heights,Emily Brontë,No,4.0,Gothic Romance,1847,0
Anna Karenina,Leo Tolstoy,Yes,2.0,Fiction,1877,0
Madame Bovary,Gustave Flaubert,No,3.0,Realism,1857,0
The Iliad,Homer,Yes,1.0,Epic Poetry,-750,0
The Sound and the Fury,William Faulkner,No,2.0,Modernism,1929,0
Invisible Man,Ralph Ellison,Yes,1.0,Fiction,1952,0
Beloved,Toni Morrison,Yes,3.0,Historical Fiction,1987,0
Catch-22,Joseph Heller,No,4.0,Satire,1961,0
Slaughterhouse-Five,Kurt Vonnegut,Yes,2.0,Science Fiction,1969,0
Brave New World,Aldous Huxley,No,5.0,Dystopian,1932,0
Heart of Darkness,Joseph Conrad,Yes,3.0,Adventure,1899,0
The Grapes of Wrath,John Steinbeck,No,2.0,Fiction,1939,0
Of Mice and Men,John Steinbeck,Yes,1.0,Tragedy,1937,0
The Old Man and the Sea,Ernest Hemingway,No,3.0,Fiction,1952,0
The Hobbit,J.R.R. Tolkien,Yes,4.0,Fantasy,1937,0
The Lord of the Rings,J.R.R. Tolkien,Yes,2.0,Fantasy,1954,0
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7.0,Fantasy,1997,0
A Game of Thrones,George R.R. Martin,Yes,5.0,Fantasy,1996,0
The Name of the Wind,Patrick Rothfuss,No,3.0,Fantasy,2007,0
Mistborn: The Final Empire,Brandon Sanderson,Yes,4.0,Fantasy,2006,0
The Handmaid's Tale,Margaret Atwood,No,3.0,Dystopian,1985,0
The Odyssey,Homer,Yes,2.0,Epic Poetry,-800,0
itay segev life story,itay segev,No,6.0,Realism,1999,0
